[(z8,83)]
(e0,40)
(f4,14)
(f7,54)
(f3,59)
(f5,57)
(f0,39)
(f2,16)
(f9,62)
(g5,7)
(g0,68)
(g9,34)
(g6,35)
(g3,52)
(g1,56)
(g2,10)
(g8,44)
(h3,49)
(h7,28)
(h0,16)
(h5,32)
(h6,57)
(h9,98)
(i0,56)
(i6,86)
(i5,75)
(i2,40)
(i3,37)
(i7,51)
(i1,69)
(i9,57)
(i4,22)
(i8,92)
(j3,85)
(j8,76)
(j5,46)
(j6,5)
(j2,6)
(j7,45)
(j0,34)
(j9,76)
(j1,57)
(k6,71)
(k0,9)
(k2,1)
(k9,27)
(k1,86)
(k8,56)
(k3,50)
(l2,35)
(l1,9)
(l7,0)
(l3,94)
(l6,100)
(l5,59)
(l9,70)
(l0,40)
(m0,52)
(m3,48)
(m4,3)
(m1,6)
(m9,41)
(m8,1)
(m7,4)
(m5,89)
(m2,95)
(n3,86)
(n6,42)
(n2,12)
(n1,67)
(n4,31)
(n0,82)
(n8,72)
(n9,20)
(n5,88)
(o5,26)
(o9,3)
(o3,84)
(o2,42)
(o6,66)
(o0,15)
(o4,66)
(o1,1)
(o8,67)
(o7,56)
(p3,72)
(p8,88)
(p1,91)
(p2,3)
(p4,2)
(p9,32)
(p6,26)
(p5,0)
(p0,12)
(q3,85)
(q9,88)
(q7,5)
(q8,44)
(q5,93)
(q6,77)
(q4,66)
(q1,37)
(r4,39)
(r5,58)
(r9,83)
(r3,87)
(r8,41)
(r7,23)
(r1,1)
(r0,55)
(s5,89)
(s9,87)
(s7,29)
(s4,0)
(s3,84)
(s1,45)
(s8,55)
(t2,21)
(t1,14)
(t8,27)
(t6,17)
(t9,99)
(t3,90)
(t7,55)
(u5,35)
(u7,56)
(u3,69)
(u6,1)
(u0,4)
(u8,45)
(u4,59)
(u1,53)
(v6,99)
(v0,35)
(v5,34)
(v8,14)
(v7,20)
(v4,8)
(v9,4)
(w2,24)
(w3,63)
(w6,1)
(w7,12)
(w9,64)
(w4,49)
(w0,88)
(w1,38)
(x3,0)
(x2,52)
(x0,74)
(x6,65)
(x1,46)
(x8,99)
(x9,99)
(x7,22)
(y3,89)
(y5,12)
(y6,64)
(y8,62)
(y4,61)
(y0,96)
(y2,77)
(y7,48)
(z0,65)
(z9,77)
(z1,82)
(z7,39)
(z4,0)
(z6,59)
(z3,69)
(z5,4)
(z2,32)
