[(i1,83)]
(z5,22)
(z9,81)
(z1,52)
(z4,60)
(z0,45)
(z3,58)
[(s6,78)]
[(s9,87)]
[(z3,58)]
[(r8,65)]
Waiting...
[(j7,4)]
[(l9,48)]
[(x9,99)]
Waiting...
[(q6,90)]
[(d4,54)]
(a0,10)
(a7,52)
(a3,27)
(a4,22)
(a9,76)
(a6,28)
(a5,66)
(a2,58)
(a1,62)
(b6,92)
(b5,32)
(b0,89)
(b4,68)
(b8,88)
(b2,88)
(b7,50)
(c1,93)
(c5,17)
(c7,100)
(c9,73)
(c4,23)
(c6,83)
(c2,14)
(c0,52)
(c8,20)
(d6,29)
(d2,41)
(d0,42)
(d9,75)
(d7,17)
(d1,85)
(d8,53)
(d4,54)
(d5,55)
(e3,24)
(e6,62)
(e9,63)
(e5,15)
(e0,75)
(e4,54)
(e8,56)
(f4,35)
(f0,95)
(f5,16)
(f7,7)
(f8,71)
(f2,49)
(f3,24)
(f1,58)
(g8,51)
(g7,74)
(g6,33)
(g9,52)
(g2,61)
(g4,33)
(g3,44)
(h1,79)
(h2,60)
(h0,64)
(h8,78)
(h7,27)
(h6,27)
(i9,74)
(i2,23)
(i5,0)
(i7,33)
(i6,3)
(i3,12)
(j0,59)
(j7,4)
(j3,51)
(j2,64)
(j6,100)
(j5,11)
(j9,71)
(j1,49)
(j4,99)
(k5,98)
(k8,61)
(k1,89)
(k0,77)
(k2,48)
(k7,41)
(k4,73)
(k9,69)
(l6,69)
(l3,27)
(l2,70)
(l9,48)
(l1,72)
(l5,24)
(l4,53)
(l0,72)
(l8,57)
(m1,17)
(m7,25)
(m3,85)
(m9,73)
(m8,42)
(m5,5)
(m2,0)
(m6,81)
(m4,43)
(m0,51)
(n2,24)
(n4,69)
(n5,83)
(n0,60)
(n3,15)
(n7,70)
(n6,19)
(o5,28)
(o0,19)
(o2,40)
(o1,64)
(o4,9)
(o8,29)
(p9,69)
(p3,58)
(p4,9)
(p7,1)
(p2,63)
(p5,15)
(p6,48)
(p1,7)
(p0,30)
(p8,33)
(q2,31)
(q3,100)
(q0,44)
(q6,90)
(q7,54)
(q8,29)
(q4,98)
(q1,25)
(r2,66)
(r1,6)
(r7,43)
(r0,24)
(r8,65)
(r6,60)
(s7,49)
(s8,96)
(s5,56)
(s2,13)
(s9,87)
(s3,54)
(s1,1)
(s0,37)
(t5,36)
(t1,46)
(t4,38)
(t3,62)
(t6,29)
(t8,8)
(u1,100)
(u4,74)
(u5,7)
(u2,7)
(u7,60)
(u3,83)
(v2,66)
(v6,30)
(v9,25)
(v0,3)
(v5,16)
(v4,20)
(v1,13)
(v8,57)
(v3,42)
(w5,14)
(w4,37)
(w6,10)
(w7,87)
(w3,11)
(w2,77)
(w8,12)
(w0,38)
(x9,99)
(x7,65)
(x5,30)
(x0,96)
(x6,1)
(x2,45)
(x4,39)
(x3,96)
(x1,1)
(y3,46)
(y7,56)
(y1,60)
(y6,35)
(y0,10)
(y2,23)
(y8,90)
(y9,7)
(y4,46)
(y5,24)
(z4,3)
(z8,49)
(z5,22)
(z9,2)
(z1,41)
(z0,45)
