[(x6,31)]
(u5,69)
(u1,38)
(u8,81)
(u9,10)
(u6,99)
(u3,30)
(u7,89)
(v9,29)
(v7,94)
(v0,35)
(v8,48)
(v1,47)
(v3,79)
(v6,4)
(v5,19)
(v4,77)
(w6,49)
(w5,42)
(w4,26)
(w0,47)
(w3,61)
(w9,23)
(w1,45)
(x6,31)
(x9,85)
(x7,6)
(x8,15)
(x2,40)
(x0,56)
(x4,71)
(x5,10)
(x1,62)
(y2,87)
(y1,39)
(y8,90)
(y5,77)
(y6,96)
(y4,74)
(y7,49)
(y9,26)
(y0,76)
(z3,30)
(z8,59)
(z5,42)
(z1,4)
(z4,34)
(z9,49)
[(j8,68)]
[(j8,68)]
(a0,24)
(a5,95)
(a6,58)
(a2,7)
(a4,95)
(a8,17)
(a7,5)
(a1,94)
(b6,33)
(b3,54)
(b4,92)
(b0,88)
(b5,39)
(b8,23)
(b1,31)
(c1,35)
(c6,44)
(c7,23)
(c4,29)
(d9,12)
(d6,12)
(d4,13)
(d1,57)
(d8,57)
(d0,6)
(d7,45)
(e5,100)
(e0,6)
(e6,99)
(e3,96)
(e1,96)
(e7,81)
(e4,41)
(e9,98)
(e8,1)
(f0,77)
(f1,38)
(f5,12)
(f7,80)
(f4,100)
(f3,91)
(g9,23)
(g2,79)
(g5,83)
(g4,29)
(g7,52)
(g1,41)
(g6,6)
(g0,18)
(g3,75)
(h5,54)
(h0,58)
(h6,8)
(h8,17)
(h4,13)
(h9,68)
(h2,33)
(h1,41)
(i9,41)
(i4,67)
(i2,64)
(i6,44)
(i1,28)
(i7,25)
(i5,96)
(i0,32)
(j8,68)
(j5,34)
(j9,53)
(j0,77)
(j6,41)
(j1,17)
(j4,63)
(j2,13)
(k7,95)
(k2,34)
(k0,34)
(k8,21)
(k1,15)
(k4,82)
(k6,51)
(l6,93)
(l9,7)
(l7,70)
(l0,78)
(l2,3)
(l8,29)
(l1,21)
(l4,42)
(m8,66)
(m5,17)
(m1,35)
(m0,0)
(m6,96)
(m2,31)
(n0,24)
(n4,3)
(n2,34)
(n3,64)
(n1,45)
(n7,27)
(n9,65)
(n5,30)
(n8,94)
(n6,47)
(o0,74)
(o8,95)
(o9,37)
(o6,3)
(o2,34)
(o7,8)
(o5,2)
(p6,4)
(p8,3)
(p2,4)
(p1,5)
(p3,34)
(q1,24)
(q6,54)
(q2,10)
(q9,0)
(q4,1)
(q0,99)
(q7,0)
(q3,8)
(q8,91)
(r4,22)
(r7,90)
(r1,44)
(r3,97)
(r6,56)
(r5,24)
(r2,62)
(r0,74)
(s1,18)
(s9,94)
(s8,99)
(s2,86)
(s4,44)
(s6,47)
(s7,99)
(t1,90)
(t2,87)
(t6,13)
(t0,8)
(t7,70)
(t5,71)
(u2,49)
(u4,58)
(u5,69)
(u1,38)
(u8,81)
(u9,10)
(u6,99)
(u3,30)
(u7,89)
(v9,29)
(v7,94)
(v0,35)
(v8,48)
(v1,47)
(v3,79)
(v6,4)
(v5,19)
(v4,77)
(w7,2)
(w6,49)
(w5,42)
(w4,26)
(w0,47)
(w3,61)
(w9,23)
(w1,45)
(x9,85)
(x7,6)
(x8,15)
(x2,40)
(x0,56)
(x4,71)
(x5,10)
(x1,62)
(y2,87)
(y1,39)
(y8,90)
(y5,77)
(y6,96)
(y4,74)
(y7,49)
(y9,26)
(y0,76)
(z3,30)
(z8,59)
(z5,42)
(z1,4)
(z4,34)
(z9,49)
[(m6,65)]
(a0,24)
(a5,95)
(a6,58)
(a2,7)
(a4,95)
(a8,17)
(a7,5)
(a1,94)
(b6,33)
(b3,54)
(b4,92)
(b0,88)
(b5,39)
(b8,23)
(b1,31)
(c1,35)
(c6,44)
(c7,23)
(c4,29)
(d3,50)
(d9,12)
(d6,12)
(d4,13)
(d1,57)
(d8,57)
(d0,6)
(d7,45)
(e5,100)
(e0,6)
(e6,99)
(e3,96)
(e1,96)
(e7,81)
(e4,41)
(e9,98)
(e8,1)
(f0,77)
(f1,38)
(f5,12)
(f7,80)
(f4,100)
(f3,91)
(g9,23)
(g2,79)
(g5,83)
(g4,29)
(g7,52)
(g1,41)
(g6,6)
(g0,18)
(g3,75)
(h5,54)
(h0,58)
(h6,8)
(h8,17)
(h4,13)
(h9,68)
(h2,33)
(h1,41)
(i9,41)
(i4,67)
(i2,64)
(i6,44)
(i1,28)
(i7,25)
(i5,96)
(i0,32)
(j8,68)
(j5,34)
(j9,53)
(j0,77)
(j6,41)
(j1,17)
(j4,63)
(j2,13)
(k7,95)
(k2,34)
(k0,34)
(k8,21)
(k1,15)
(k4,82)
(k6,51)
(l6,93)
(l9,7)
(l7,70)
(l0,78)
(l2,3)
(l8,29)
(l1,21)
(l4,42)
(m8,66)
(m5,17)
(m1,35)
(m0,0)
(m6,65)
(m2,31)
(n0,24)
(n4,3)
(n2,34)
(n3,64)
(n1,45)
(n7,27)
(n9,65)
(n5,30)
(n8,94)
(n6,47)
(o0,74)
(o8,95)
(o9,37)
(o6,3)
(o2,34)
(o7,8)
(o5,2)
(p6,4)
(p8,3)
(p2,4)
(p1,5)
(p3,34)
(q1,24)
(q6,54)
(q2,10)
(q9,0)
(q4,1)
(q0,99)
(q7,0)
(q3,8)
(q8,91)
(r9,37)
(r4,22)
(r7,90)
(r1,44)
(r3,97)
(r6,56)
(r5,24)
(r2,62)
(r0,74)
(s1,18)
(s9,94)
(s8,99)
(s2,86)
(s4,44)
(s6,47)
(s7,99)
(t1,90)
(t2,87)
(t6,13)
(t0,8)
(t7,70)
(t5,71)
(u2,49)
(u4,58)
(u5,69)
(u1,38)
(u8,81)
(u9,10)
(u6,99)
(u3,30)
(u7,89)
(v9,29)
(v7,94)
(v0,35)
(v8,48)
(v1,47)
(v3,79)
(v6,4)
(v5,19)
(v4,77)
(w7,2)
(w6,49)
(w5,42)
(w4,26)
(w0,47)
(w3,61)
(w9,23)
(w1,45)
(x9,85)
(x7,6)
(x8,15)
(x2,40)
(x0,56)
(x4,71)
(x5,10)
(x1,62)
(y2,87)
(y1,39)
(y8,90)
(y5,77)
(y6,96)
(y4,74)
(y7,49)
(y9,26)
(y0,76)
(z3,30)
(z8,59)
(z5,42)
(z1,4)
(z4,34)
(z9,29)
[(j8,68)]
Waiting...
Waiting...
[(d2,86)]
[(i8,75)]
[(v4,71)]
[(b7,64)]
Waiting...
