[(u7,30)]
(l3,10)
(l6,100)
(l9,7)
(l0,47)
(l2,70)
(l8,36)
(l4,82)
(m7,81)
(m4,91)
(m3,2)
(m1,35)
(m0,0)
(m6,88)
(m2,65)
(n0,24)
(n4,3)
(n2,89)
(n3,64)
(n1,30)
(n7,27)
(n9,29)
(n5,72)
(n6,88)
(o1,45)
(o3,85)
(o0,4)
(o8,73)
(o9,37)
(o6,3)
(o2,34)
(o7,57)
(o5,2)
(p9,71)
(p4,24)
(p7,62)
(p6,95)
(p8,74)
(p2,81)
(p1,5)
(p3,34)
(q1,80)
(q6,63)
(q2,59)
(q9,0)
(q0,55)
(q3,28)
(r9,74)
(r8,51)
(r4,92)
(r7,88)
(r1,44)
(r3,97)
(r6,35)
(r5,24)
(r2,64)
(r0,0)
(s0,55)
(s3,32)
(s1,7)
(s9,94)
(s8,99)
(s2,7)
(s4,44)
(s6,61)
(s7,99)
(t4,87)
(t8,43)
(t1,20)
(t2,25)
(t6,64)
(t0,8)
(t7,4)
(t5,71)
(u0,44)
(u2,49)
(u5,9)
(u1,38)
(u8,78)
(u9,61)
(u6,76)
(u3,45)
(v2,4)
(v6,67)
(v9,86)
(v7,94)
(v0,30)
(v8,1)
(v1,24)
(v3,79)
(v5,19)
(v4,92)
(w8,14)
(w7,2)
(w6,100)
(w5,67)
(w4,26)
(w0,12)
(w3,98)
(w9,82)
(x3,0)
(x6,49)
(x9,27)
(x7,93)
(x8,15)
(x2,40)
(x0,28)
(x4,21)
(x5,10)
(x1,62)
(y2,40)
(y1,62)
(y8,70)
(y5,77)
(y6,37)
(y7,49)
(y9,35)
(y0,92)
(z0,93)
(z6,100)
(z2,95)
(z7,79)
(z3,30)
(z8,59)
(z5,10)
(z1,88)
(z4,27)
[(x3,0)]
Waiting...
[(r0,0)]
[(t7,4)]
