Waiting...
[(q7,42)]
(q7,42)
(r2,69)
(r6,69)
(r9,32)
(r1,59)
(s4,74)
(s1,20)
(s3,44)
(t9,94)
(t5,79)
(t2,17)
(t1,18)
(t0,42)
(u7,57)
(u0,38)
(u3,0)
(u4,53)
(v8,62)
(v4,99)
(v6,18)
(v2,3)
(w1,55)
(w8,86)
(w9,8)
(w7,3)
(w6,71)
(w4,33)
(w0,89)
(x0,34)
(x6,87)
(y1,79)
(y5,59)
(y3,29)
(y0,72)
(y6,40)
(z0,8)
(z4,98)
(z9,1)
[(g5,29)]
[(f5,83)]
(a1,34)
(a3,27)
(b5,35)
(b9,91)
(b8,96)
(b2,92)
(b7,77)
(c8,79)
(c6,11)
(c5,2)
(c9,78)
(c1,87)
(d3,39)
(d7,50)
(d8,31)
(d4,6)
(d6,29)
(e3,89)
(e8,6)
(e7,46)
(f5,83)
(f1,83)
(f9,6)
(f7,2)
(f8,35)
(f0,99)
(g6,27)
(g8,65)
(g5,29)
(g7,6)
(h6,86)
(h8,19)
(h7,97)
(h9,20)
(h3,51)
(h0,89)
(i8,92)
(i9,46)
(i7,88)
(i1,9)
(i3,26)
(i5,5)
(j8,88)
(j1,97)
(j4,4)
(j0,69)
(k4,94)
(k9,9)
(k2,20)
(k3,10)
(k5,85)
(l1,86)
(l6,37)
(l7,19)
(l3,23)
(l8,81)
(m1,10)
(m9,11)
(m6,52)
(m0,79)
(n9,3)
(n4,17)
(n3,53)
(n0,68)
(o9,67)
(o4,58)
(o1,91)
(o8,20)
(o3,52)
(o2,74)
(p8,29)
(p2,93)
(p7,28)
(p4,100)
(p3,70)
(q5,88)
(q1,64)
(q6,40)
(q4,44)
(q8,99)
(q7,42)
(r2,69)
(r6,69)
(r9,32)
(r1,59)
(s5,13)
(s0,10)
(s4,74)
(s1,20)
(s3,44)
(t9,94)
(t5,79)
(t2,17)
(t1,18)
(t0,42)
(u9,17)
(u6,69)
(u7,57)
(u0,31)
(u3,0)
(u4,83)
(v5,69)
(v8,62)
(v4,99)
(v6,18)
(v2,3)
(w1,55)
(w8,86)
(w9,8)
(w7,3)
(w6,71)
(w4,62)
(w0,89)
(x5,16)
(x7,16)
(x0,34)
(x6,87)
(y1,79)
(y5,59)
(y3,24)
(y0,72)
(y6,40)
(z1,14)
(z6,39)
(z0,8)
(z4,98)
(z9,1)
[(g5,29)]
(a2,26)
(a8,6)
(a1,34)
(a3,27)
(b5,35)
(b9,91)
(b8,96)
(b2,92)
(b7,77)
(c8,79)
(c6,11)
(c5,2)
(c9,78)
(c1,23)
(d3,39)
(d7,50)
(d8,31)
(d4,6)
(d6,29)
(e0,59)
(e5,13)
(e3,89)
(e8,6)
(e7,46)
(f5,83)
(f1,83)
(f9,6)
(f7,2)
(f8,35)
(f0,99)
(g6,27)
(g8,65)
(g5,29)
(g7,6)
(h6,86)
(h8,19)
(h7,97)
(h9,20)
(h3,51)
(h0,89)
(i8,92)
(i9,46)
(i7,88)
(i1,9)
(i3,26)
(i5,5)
(j2,7)
(j8,88)
(j1,97)
(j4,4)
(j0,69)
(k4,94)
(k9,9)
(k2,20)
(k3,10)
(k5,85)
(l1,86)
(l6,37)
(l7,19)
(l3,23)
(l8,81)
(m1,10)
(m9,11)
(m6,52)
(m0,79)
(n6,71)
(n9,3)
(n4,17)
(n3,53)
(n0,68)
(o9,67)
(o4,58)
(o1,91)
(o8,20)
(o3,52)
(o2,74)
(p5,93)
(p8,29)
(p2,93)
(p7,28)
(p4,100)
(p3,70)
(q5,88)
(q1,64)
(q6,40)
(q4,44)
(q8,99)
(q7,42)
(r7,88)
(r2,69)
(r6,69)
(r9,32)
(r1,59)
(s5,13)
(s0,10)
(s4,74)
(s1,20)
(s3,44)
(t7,19)
(t9,94)
(t5,79)
(t2,17)
(t1,18)
(t0,42)
(u8,58)
(u9,17)
(u6,69)
(u7,57)
(u0,31)
(u3,0)
(u4,83)
(v3,24)
(v5,69)
(v8,62)
(v4,99)
(v6,18)
(v2,3)
(w1,55)
(w8,86)
(w9,8)
(w7,3)
(w6,71)
(w4,62)
(w0,89)
(x9,19)
(x5,16)
(x7,16)
(x0,34)
(x6,87)
(y4,75)
(y1,79)
(y5,59)
(y3,24)
(y0,72)
(y6,40)
(z1,14)
(z6,39)
(z0,8)
(z4,98)
(z9,1)
Waiting...
[(o4,58)]
[(w4,62)]
[(u6,69)]
[(x5,16)]
[(x5,16)]
