Waiting...
[(r4,69)]
(z0,5)
(z4,92)
(z9,97)
(z1,36)
Waiting...
[(m7,37)]
[(o9,61)]
[(s2,36)]
[(o6,51)]
Waiting...
(a3,87)
(a1,58)
(a4,76)
(a6,78)
(a9,39)
(a7,13)
(b5,7)
(b8,73)
(b3,7)
(b2,49)
(b9,42)
(c9,91)
(c6,36)
(c5,57)
(c0,10)
(c4,77)
(c7,63)
(d9,58)
(d6,23)
(d1,15)
(d2,76)
(d7,96)
(d5,88)
(d3,47)
(d0,53)
(e1,69)
(e9,6)
(e0,32)
(e6,47)
(e2,8)
(e8,10)
(e5,49)
(e4,16)
(e7,16)
(f0,15)
(f2,93)
(f4,32)
(f5,99)
(f6,31)
(f9,80)
(f8,28)
(f1,63)
(f7,5)
(g1,35)
(g3,91)
(g8,61)
(g9,61)
(g0,35)
(g6,34)
(g5,66)
(h6,89)
(h5,60)
(h9,99)
(h0,51)
(h8,22)
(h4,32)
(h3,4)
(h7,70)
(i3,27)
(i7,34)
(i6,84)
(i9,1)
(i5,45)
(i4,56)
(i2,0)
(i8,69)
(j7,64)
(j2,66)
(j0,95)
(j9,6)
(j3,65)
(j1,45)
(j5,5)
(k3,20)
(k5,14)
(k4,78)
(k7,55)
(l7,63)
(l8,36)
(l5,59)
(l4,17)
(l9,67)
(l3,92)
(l0,91)
(l2,16)
(m6,75)
(m1,31)
(m8,20)
(m7,37)
(m5,72)
(m0,93)
(m2,37)
(m3,13)
(n4,62)
(n5,24)
(n3,3)
(n7,72)
(o1,27)
(o0,71)
(o9,61)
(o3,9)
(o2,89)
(o8,10)
(o6,51)
(o7,56)
(p2,80)
(p1,74)
(p8,42)
(p9,76)
(p6,100)
(p5,60)
(p0,12)
(p3,88)
(p7,29)
(q7,5)
(q8,74)
(q0,78)
(q9,61)
(q6,63)
(q2,8)
(q3,12)
(r1,59)
(r5,84)
(r2,27)
(r3,0)
(r9,49)
(r8,96)
(r6,0)
(r0,78)
(s2,36)
(s3,79)
(s4,48)
(s1,85)
(s8,59)
(s6,68)
(t7,44)
(t1,21)
(t3,24)
(t4,71)
(t9,22)
(t2,0)
(t6,64)
(t8,3)
(t5,84)
(u0,71)
(u8,19)
(u6,20)
(u4,62)
(u9,2)
(u1,95)
(u3,21)
(u2,23)
(u5,64)
(u7,42)
(v5,5)
(v2,54)
(v0,83)
(v4,50)
(v8,38)
(v9,23)
(v6,47)
(w9,82)
(w4,87)
(w8,14)
(w5,90)
(w0,90)
(w2,99)
(w7,87)
(w1,8)
(x0,21)
(x8,95)
(x9,84)
(x7,37)
(x2,52)
(y2,6)
(y3,65)
(y7,12)
(y6,0)
(y1,95)
(z8,67)
(z3,43)
(z2,5)
(z0,95)
(z4,24)
(z9,97)
(z1,36)
[(o6,51)]
Waiting...
[(v0,83)]
[(p6,100)]
[(w0,34)]
[(y0,37)]
[(a4,72)]
[(x2,52)]
[(w7,87)]
[(u0,71)]
Waiting...
[(l9,70)]
[(z1,36)]
