[(f3,24)]
(p0,41)
(p9,36)
(p8,76)
(p3,72)
(q9,24)
(q6,74)
(q7,55)
(q5,19)
(q2,25)
(q8,8)
(q4,98)
(q1,30)
(r7,16)
(r9,54)
(r3,41)
(r5,15)
(r0,24)
(r4,65)
(r8,50)
(r2,50)
(r6,50)
(s9,98)
(s8,14)
(s3,23)
(s1,31)
(s2,10)
(s0,37)
(s7,68)
(t7,67)
(t5,52)
(t4,66)
(t3,72)
(t0,87)
(t6,76)
(t8,63)
(u2,59)
(u7,25)
(u3,77)
(u0,10)
(u4,79)
(u1,0)
(u9,27)
(u6,14)
(v9,42)
(v0,38)
(v7,45)
(v5,89)
(v4,78)
(v1,13)
(v8,63)
(v3,3)
(v6,55)
(w1,1)
(w4,91)
(w6,68)
(w7,84)
(w9,18)
(w3,66)
(w2,89)
(w5,49)
(w8,80)
(w0,38)
(x9,89)
(x6,33)
(x2,43)
(x5,52)
(x4,44)
(x7,53)
(x3,30)
(x1,6)
(x0,17)
(y2,94)
(y3,43)
(y8,78)
(y9,4)
(y7,11)
(y4,82)
(y1,2)
(y5,91)
(z7,95)
(z6,59)
(z5,35)
(z0,8)
(z3,66)
(z8,7)
[(v9,42)]
[(f4,37)]
Waiting...
[(q0,51)]
[(r3,19)]
(a7,85)
(a9,79)
(a4,50)
(a8,59)
(a6,49)
(a5,33)
(a2,52)
(a1,42)
(b4,83)
(b8,8)
(b2,26)
(b0,42)
(b1,81)
(b6,22)
(b5,50)
(b9,7)
(b7,17)
(c6,2)
(c7,4)
(c1,18)
(c3,65)
(c2,13)
(c0,52)
(c8,91)
(d7,17)
(d1,25)
(d8,53)
(d4,84)
(d3,2)
(d5,52)
(d0,63)
(d6,74)
(d2,98)
(e9,39)
(e7,67)
(e5,15)
(e0,73)
(e2,91)
(e4,40)
(e8,100)
(f6,22)
(f4,37)
(f8,4)
(f2,69)
(f9,91)
(f5,35)
(f3,24)
(f1,83)
(g1,12)
(g7,82)
(g9,21)
(g2,43)
(g4,93)
(g0,3)
(g3,4)
(g5,61)
(h1,48)
(h8,78)
(h4,50)
(h0,79)
(h9,9)
(h7,39)
(h5,87)
(h6,93)
(i0,27)
(i8,63)
(i1,1)
(i7,35)
(i4,23)
(i6,11)
(i2,50)
(i9,43)
(i3,35)
(j3,38)
(j2,62)
(j0,100)
(j8,95)
(j6,6)
(j7,66)
(j5,100)
(j9,81)
(j1,23)
(j4,38)
(k1,30)
(k6,36)
(k5,54)
(k0,50)
(k2,31)
(k8,70)
(k7,96)
(k4,2)
(k9,69)
(l1,20)
(l5,44)
(l6,35)
(l4,61)
(l0,17)
(l7,41)
(l8,15)
(m1,27)
(m5,5)
(m2,0)
(m6,81)
(m8,100)
(m7,51)
(m3,43)
(m4,40)
(m0,2)
(n9,28)
(n3,85)
(n8,6)
(n1,44)
(n7,70)
(n6,99)
(o6,11)
(o3,36)
(o1,30)
(o4,75)
(o7,65)
(o8,62)
(o9,47)
(p5,75)
(p6,6)
(p4,14)
(p1,12)
(p0,41)
(p9,36)
(p8,21)
(p3,72)
(q0,51)
(q6,74)
(q7,55)
(q5,19)
(q2,25)
(q8,8)
(q4,98)
(q1,30)
(r7,16)
(r9,54)
(r3,19)
(r5,25)
(r0,24)
(r8,50)
(r2,50)
(r6,55)
(s9,98)
(s8,14)
(s3,23)
(s1,64)
(s2,10)
(s0,37)
(s7,68)
(t4,49)
(t7,67)
(t5,52)
(t3,62)
(t6,76)
(t8,63)
(u8,70)
(u2,59)
(u7,25)
(u3,77)
(u0,10)
(u1,11)
(u9,27)
(u6,14)
(v9,42)
(v0,38)
(v7,45)
(v5,89)
(v4,78)
(v1,13)
(v8,81)
(v3,12)
(w1,1)
(w4,56)
(w6,68)
(w7,84)
(w9,18)
(w3,33)
(w2,89)
(w5,49)
(w8,80)
(w0,38)
(x6,33)
(x2,43)
(x5,52)
(x4,44)
(x7,53)
(x3,30)
(x1,1)
(x0,17)
(y2,57)
(y3,43)
(y8,78)
(y9,4)
(y7,11)
(y4,82)
(y5,49)
(z4,60)
(z2,33)
(z7,95)
(z6,51)
(z5,35)
(z0,45)
(z3,66)
(z8,7)
(a7,85)
(a9,79)
(a4,50)
(a8,59)
(a6,49)
(a5,33)
(a2,52)
(a1,42)
(b4,83)
(b8,8)
(b2,26)
(b0,42)
(b1,81)
(b6,22)
(b5,50)
(b9,7)
(b7,17)
(c6,2)
(c7,4)
(c1,18)
(c3,65)
(c2,13)
(c0,52)
(c8,91)
(d7,17)
(d1,25)
(d8,53)
(d4,84)
(d3,2)
(d5,52)
(d0,63)
(d6,74)
(d2,98)
(e9,39)
(e7,67)
(e5,15)
(e0,73)
(e2,91)
(e4,40)
(e8,100)
(f6,22)
(f4,37)
(f8,4)
(f2,69)
(f9,91)
(f5,35)
(f3,24)
(f1,83)
(g1,12)
(g7,82)
(g9,21)
(g2,43)
(g4,93)
(g0,3)
(g3,4)
(g5,61)
(h1,48)
(h8,78)
(h4,50)
(h0,79)
(h9,9)
(h7,39)
(h5,87)
(h6,93)
(i0,27)
(i8,63)
(i1,1)
(i7,35)
(i4,23)
(i6,11)
(i2,50)
(i9,43)
(i3,35)
(j3,38)
(j2,62)
(j0,100)
(j8,95)
(j6,6)
(j7,66)
(j5,100)
(j9,81)
(j1,23)
(j4,38)
(k1,30)
(k6,36)
(k5,54)
(k0,50)
(k2,31)
(k8,70)
(k7,96)
(k4,2)
(k9,69)
(l1,20)
(l5,44)
(l6,35)
(l4,61)
(l0,17)
(l7,41)
(l8,15)
(m1,27)
(m5,5)
(m2,0)
(m6,81)
(m8,100)
(m7,51)
(m3,43)
(m4,40)
(m0,2)
(n9,28)
(n3,85)
(n8,6)
(n1,44)
(n7,70)
(n6,99)
(o6,11)
(o3,36)
(o1,30)
(o4,75)
(o7,65)
(o8,62)
(o9,47)
(p5,75)
(p6,6)
(p4,14)
(p1,12)
(p0,41)
(p9,36)
(p8,21)
(p3,72)
(q0,51)
(q6,74)
(q7,55)
(q5,19)
(q2,25)
(q8,8)
(q4,98)
(q1,30)
(r7,16)
(r9,54)
(r3,19)
(r5,25)
(r0,24)
(r8,50)
(r2,50)
(r6,55)
(s9,98)
(s8,14)
(s3,23)
(s1,64)
(s2,10)
(s0,37)
(s7,68)
(t4,49)
(t7,67)
(t5,52)
(t3,62)
(t6,76)
(t8,63)
(u8,70)
(u2,59)
(u7,25)
(u3,77)
(u0,10)
(u1,11)
(u9,27)
(u6,14)
(v9,42)
(v0,38)
(v7,45)
(v5,89)
(v4,78)
(v1,13)
(v8,81)
(v3,12)
(w1,1)
(w4,56)
(w6,68)
(w7,84)
(w9,18)
(w3,33)
(w2,89)
(w5,49)
(w8,80)
(w0,38)
(x6,33)
(x2,43)
(x5,52)
(x4,44)
(x7,53)
(x3,30)
(x1,1)
(x0,17)
(y2,57)
(y3,43)
(y8,78)
(y9,4)
(y7,11)
(y4,82)
(y5,49)
(z4,60)
(z2,33)
(z7,95)
(z6,51)
(z5,35)
(z0,45)
(z3,66)
(z8,7)
[(i1,1)]
Waiting...
[(y2,57)]
Waiting...
[(d8,53)]
[(w7,84)]
Waiting...
[(g2,43)]
(a9,41)
(a8,59)
(a6,49)
(a5,33)
(a2,52)
(a1,42)
(b3,10)
(b4,63)
(b8,8)
(b2,26)
(b0,42)
(b1,81)
(b6,22)
(b5,50)
(b9,7)
(b7,17)
(c6,2)
(c7,4)
(c3,65)
(c2,13)
(c0,52)
(c8,91)
(d7,17)
(d1,25)
(d8,53)
(d4,84)
(d3,2)
(d5,52)
(d0,63)
(d2,98)
(e6,62)
(e9,39)
(e7,67)
(e5,15)
(e0,73)
(e2,91)
(e4,40)
(e8,100)
(f6,22)
(f4,37)
(f8,4)
(f2,69)
(f3,24)
(f1,83)
(g8,56)
(g1,12)
(g7,82)
(g9,21)
(g2,43)
(g4,93)
(g3,4)
(g5,61)
(h1,48)
(h8,78)
(h4,50)
(h0,79)
(h9,69)
(h7,39)
(h5,87)
(h6,93)
(i0,27)
(i8,63)
(i1,1)
(i7,35)
(i4,23)
(i6,11)
(i2,50)
(i9,43)
(i3,35)
(j3,38)
(j2,62)
(j0,100)
(j8,19)
(j6,6)
(j7,66)
(j5,100)
(j9,81)
(j1,23)
(j4,38)
(k1,30)
(k6,36)
(k5,54)
(k0,50)
(k2,31)
(k7,96)
(k4,2)
(k9,69)
(l9,83)
(l1,20)
(l5,58)
(l6,35)
(l4,61)
(l0,17)
(l7,41)
(l8,15)
(m1,27)
(m5,5)
(m2,0)
(m6,81)
(m8,100)
(m7,51)
(m4,40)
(m0,2)
(n9,28)
(n3,85)
(n8,6)
(n1,44)
(n7,70)
(n6,99)
(o2,48)
(o1,30)
(o4,75)
(o8,62)
(o9,47)
(p5,75)
(p6,6)
(p1,12)
(p0,41)
(p9,36)
(p8,21)
(p3,72)
(q0,51)
(q6,74)
(q7,55)
(q5,19)
(q2,25)
(q8,77)
(q4,98)
(q1,30)
(r4,29)
(r7,16)
(r9,54)
(r3,19)
(r5,25)
(r0,24)
(r8,50)
(r2,50)
(r6,55)
(s9,98)
(s8,14)
(s3,23)
(s1,64)
(s2,10)
(s0,37)
(s7,68)
(t4,49)
(t7,67)
(t5,52)
(t3,62)
(t6,76)
(t8,63)
(u8,70)
(u2,59)
(u7,25)
(u3,77)
(u0,10)
(u9,27)
(u6,14)
(v0,38)
(v7,45)
(v5,89)
(v4,78)
(v1,13)
(v8,81)
(v3,12)
(w4,56)
(w6,68)
(w7,84)
(w9,18)
(w3,33)
(w2,89)
(w5,49)
(w8,80)
(w0,38)
(x6,33)
(x2,43)
(x5,52)
(x4,44)
(x7,53)
(x3,30)
(x1,1)
(x0,17)
(y6,45)
(y0,10)
(y2,57)
(y8,78)
(y9,4)
(y7,11)
(y4,82)
(y5,49)
(z4,60)
(z7,95)
(z6,51)
(z5,35)
(z0,45)
(z3,66)
(z8,7)
[(j3,38)]
(a9,41)
(a8,59)
(a6,49)
(a5,33)
(a2,52)
(a1,42)
(b3,10)
(b4,63)
(b8,8)
(b2,26)
(b0,42)
(b1,81)
(b6,22)
(b5,50)
(b9,7)
(b7,17)
(c6,2)
(c7,4)
(c3,65)
(c2,13)
(c0,52)
(c8,91)
(d7,17)
(d1,25)
(d8,53)
(d4,84)
(d3,2)
(d5,52)
(d0,63)
(d2,98)
(e6,62)
(e9,39)
(e7,67)
(e5,15)
(e0,73)
(e2,91)
(e4,40)
(e8,100)
(f6,22)
(f4,37)
(f8,4)
(f2,69)
(f3,24)
(f1,83)
(g8,56)
(g1,12)
(g7,82)
(g9,21)
(g2,43)
(g4,93)
(g3,4)
(g5,61)
(h1,48)
(h8,78)
(h4,50)
(h0,79)
(h9,69)
(h7,39)
(h5,87)
(h6,93)
(i0,27)
(i8,63)
(i1,1)
(i7,35)
(i4,23)
(i6,11)
(i2,50)
(i9,43)
(i3,35)
(j3,38)
(j2,62)
(j0,100)
(j8,19)
(j6,6)
(j7,66)
(j5,100)
(j9,81)
(j1,23)
(j4,38)
(k1,30)
(k6,36)
(k5,54)
(k0,50)
(k2,31)
(k7,96)
(k4,2)
(k9,69)
(l9,83)
(l1,20)
(l5,58)
(l6,35)
(l4,61)
(l0,17)
(l7,41)
(l8,15)
(m1,27)
(m5,5)
(m2,0)
(m6,81)
(m8,100)
(m7,51)
(m4,40)
(m0,2)
(n9,28)
(n3,85)
(n8,6)
(n1,44)
(n7,70)
(n6,53)
(o2,48)
(o1,30)
(o4,75)
(o8,62)
(o9,47)
(p5,75)
(p6,6)
(p1,12)
(p0,41)
(p9,36)
(p8,21)
(p3,9)
(q0,51)
(q6,74)
(q7,14)
(q5,19)
(q2,25)
(q8,77)
(q4,98)
(q1,30)
(r4,29)
(r7,16)
(r9,54)
(r3,19)
(r5,25)
(r0,24)
(r8,50)
(r2,87)
(r6,55)
(s9,98)
(s8,14)
(s3,23)
(s1,64)
(s2,10)
(s0,37)
(s7,68)
(t4,49)
(t7,67)
(t5,52)
(t3,62)
(t6,76)
(t8,63)
(u8,70)
(u2,59)
(u7,25)
(u3,77)
(u0,10)
(u9,27)
(u6,14)
(v0,38)
(v7,45)
(v5,89)
(v4,78)
(v1,13)
(v8,81)
(v3,12)
(w4,56)
(w6,68)
(w7,84)
(w9,18)
(w3,33)
(w2,89)
(w5,49)
(w8,80)
(w0,38)
(x6,33)
(x2,43)
(x5,52)
(x4,44)
(x7,53)
(x3,30)
(x1,1)
(x0,17)
(y6,45)
(y0,10)
(y2,57)
(y8,78)
(y9,4)
(y7,11)
(y4,82)
(y5,49)
(z4,60)
(z7,95)
(z6,51)
(z5,35)
(z0,45)
(z3,66)
(z8,7)
[(f3,24)]
[(f4,37)]
[(l8,15)]
Waiting...
