[(s1,53)]
(i9,84)
(i0,86)
(i2,21)
(i6,1)
(j8,30)
(j4,69)
(j0,86)
(j2,30)
(j5,62)
(k3,12)
(k4,88)
(k6,51)
(k5,98)
(k8,51)
(k2,17)
(l7,6)
(l3,20)
(l2,13)
(l9,16)
(l1,72)
(l5,96)
(m3,61)
(m9,7)
(m4,63)
(m6,13)
(m1,75)
(m8,42)
(m5,70)
(m2,37)
(n6,41)
(n2,61)
(n5,20)
(n9,87)
(n8,9)
(n4,23)
(n0,42)
(n7,70)
(o0,30)
(o3,90)
(o7,70)
(o4,8)
(o2,38)
(o5,35)
(o1,56)
(o8,29)
(p2,81)
(p4,99)
(p5,6)
(p7,88)
(p3,88)
(p6,86)
(p8,94)
(q0,43)
(q9,66)
(q5,28)
(q2,31)
(q3,6)
(q6,90)
(q4,91)
(q1,20)
(r5,47)
(r6,99)
(r1,76)
(r2,92)
(r7,53)
(r0,89)
(s0,77)
(s2,5)
(s6,38)
(s7,96)
(s8,56)
(s5,56)
(s3,47)
(s1,53)
(t7,24)
(t9,60)
(t5,70)
(t1,59)
(t4,77)
(t6,54)
(t8,46)
(u9,99)
(u7,29)
(u0,1)
(u6,35)
(u1,41)
(u4,98)
(u5,19)
(u2,24)
(v7,76)
(v8,27)
(v4,44)
(v6,31)
(v9,50)
(v5,48)
(v1,51)
(v3,94)
(w3,76)
(w8,30)
(w0,37)
(w5,51)
(w4,56)
(w6,89)
(w7,87)
(w2,77)
(x4,79)
(x9,86)
(x5,30)
(x0,3)
(x6,80)
(x2,25)
(x3,66)
(y4,51)
(y9,75)
(y0,66)
(y3,70)
(y7,61)
(y1,52)
(y6,35)
(z8,48)
(z6,46)
(z2,90)
(z0,45)
[(r6,99)]
[(d9,96)]
[(z2,73)]
(a5,65)
(a0,43)
(a8,47)
(a3,36)
(a9,69)
(a2,58)
(a1,37)
(b9,34)
(b3,34)
(b6,12)
(b5,36)
(b0,82)
(b2,51)
(b7,50)
(c8,51)
(c9,73)
(c4,23)
(d0,40)
(d7,7)
(d3,54)
(d2,55)
(d6,67)
(d9,96)
(d4,28)
(e6,56)
(e3,9)
(e1,94)
(e2,71)
(e7,59)
(e9,68)
(e5,93)
(f4,34)
(f9,81)
(f5,16)
(f7,7)
(f3,19)
(f1,67)
(g0,63)
(g5,0)
(g6,45)
(g1,76)
(g7,53)
(g9,80)
(g2,60)
(g4,26)
(g3,0)
(h3,6)
(h0,24)
(h1,79)
(h7,31)
(h6,33)
(i7,3)
(i8,76)
(i9,84)
(i2,21)
(j9,84)
(j8,30)
(j4,69)
(j0,86)
(j2,30)
(j5,62)
(k1,41)
(k3,12)
(k6,51)
(k5,98)
(k8,51)
(k2,17)
(l7,6)
(l3,20)
(l2,13)
(l9,16)
(l1,72)
(l5,96)
(m3,61)
(m9,7)
(m4,63)
(m6,13)
(m1,75)
(m8,35)
(m5,70)
(m2,37)
(n6,41)
(n2,61)
(n5,20)
(n9,87)
(n8,9)
(n4,23)
(n0,42)
(n7,70)
(o0,30)
(o3,90)
(o7,70)
(o4,8)
(o1,56)
(o8,63)
(p0,41)
(p9,18)
(p2,81)
(p4,99)
(p5,6)
(p7,100)
(p3,88)
(p6,86)
(p8,94)
(q0,66)
(q9,66)
(q5,28)
(q2,31)
(q6,90)
(q4,91)
(r4,12)
(r6,99)
(r1,76)
(r2,92)
(r7,53)
(r0,89)
(s0,77)
(s2,5)
(s6,38)
(s7,96)
(s8,56)
(s5,56)
(s3,47)
(s1,53)
(t7,24)
(t9,60)
(t5,70)
(t1,59)
(t4,77)
(t6,54)
(t8,46)
(u8,31)
(u9,33)
(u7,29)
(u0,1)
(u6,97)
(u1,41)
(u4,42)
(u5,19)
(u2,24)
(v0,2)
(v7,76)
(v4,44)
(v6,4)
(v9,50)
(v5,48)
(v1,51)
(v3,67)
(w3,17)
(w8,30)
(w0,37)
(w5,51)
(w4,56)
(w6,89)
(w7,87)
(w2,77)
(x4,79)
(x9,86)
(x5,30)
(x0,3)
(x6,80)
(x2,25)
(x3,2)
(y4,51)
(y9,75)
(y0,66)
(y3,39)
(y1,52)
(y6,53)
(z7,81)
(z8,48)
(z6,46)
(z2,73)
(z0,45)
(a5,65)
(a0,43)
(a8,47)
(a3,36)
(a9,69)
(a2,58)
(a1,37)
(b9,34)
(b3,34)
(b6,12)
(b5,36)
(b0,82)
(b2,51)
(b7,50)
(c8,51)
(c9,73)
(c4,23)
(d0,40)
(d7,7)
(d3,54)
(d2,55)
(d6,67)
(d9,96)
(d4,28)
(e6,56)
(e3,9)
(e1,94)
(e2,71)
(e7,59)
(e9,68)
(e5,93)
(f4,34)
(f9,81)
(f5,16)
(f7,7)
(f3,19)
(f1,67)
(g0,63)
(g5,0)
(g6,45)
(g1,76)
(g7,53)
(g9,80)
(g2,60)
(g4,26)
(g3,0)
(h3,6)
(h0,24)
(h1,79)
(h7,31)
(h6,33)
(i7,3)
(i8,76)
(i9,84)
(i2,21)
(j9,84)
(j8,30)
(j4,69)
(j0,86)
(j2,30)
(j5,62)
(k1,41)
(k3,12)
(k6,51)
(k5,98)
(k8,51)
(k2,17)
(l7,6)
(l3,20)
(l2,13)
(l9,16)
(l1,72)
(l5,96)
(m3,61)
(m9,7)
(m4,63)
(m6,13)
(m1,75)
(m8,35)
(m5,70)
(m2,37)
(n6,41)
(n2,61)
(n5,20)
(n9,87)
(n8,9)
(n4,23)
(n0,42)
(n7,70)
(o0,30)
(o3,90)
(o7,70)
(o4,19)
(o1,56)
(o8,63)
(p0,41)
(p9,18)
(p2,81)
(p4,99)
(p5,6)
(p7,100)
(p3,88)
(p6,86)
(p8,94)
(q0,66)
(q9,66)
(q5,28)
(q2,31)
(q6,90)
(q4,91)
(r4,12)
(r6,99)
(r1,76)
(r2,92)
(r7,53)
(r0,89)
(s0,77)
(s2,5)
(s6,38)
(s7,96)
(s8,56)
(s5,56)
(s3,47)
(s1,53)
(t7,24)
(t9,60)
(t5,70)
(t1,59)
(t4,77)
(t6,54)
(t8,46)
(u8,31)
(u9,33)
(u7,29)
(u0,1)
(u6,97)
(u1,41)
(u4,42)
(u5,19)
(u2,24)
(v0,2)
(v7,76)
(v4,44)
(v6,4)
(v9,50)
(v5,48)
(v1,51)
(v3,67)
(w3,17)
(w8,30)
(w0,37)
(w5,51)
(w4,56)
(w6,89)
(w7,87)
(w2,77)
(x4,79)
(x9,86)
(x5,30)
(x0,3)
(x6,80)
(x2,25)
(x3,2)
(y4,51)
(y9,75)
(y0,66)
(y3,39)
(y1,52)
(y6,53)
(z7,81)
(z8,48)
(z6,46)
(z2,73)
(z0,45)
[(v0,2)]
[(j7,13)]
[(i1,33)]
[(a3,36)]
[(v3,67)]
[(j7,13)]
[(v3,67)]
[(e3,27)]
[(n3,96)]
[(d0,97)]
[(f4,34)]
Waiting...
[(l5,21)]
[(n2,15)]
[(v1,51)]
[(j1,1)]
[(p0,41)]
[(t8,97)]
