Waiting...
[(v6,12)]
(i8,62)
(i9,18)
(j3,12)
(j6,27)
(j7,85)
(j2,30)
(j5,62)
(k4,34)
(k9,60)
(k1,44)
(k6,49)
(k5,47)
(k2,54)
(l0,23)
(l4,44)
(l6,90)
(l7,6)
(l3,76)
(l9,16)
(l5,88)
(m9,15)
(m3,75)
(m0,34)
(m4,10)
(m6,13)
(m8,11)
(m2,37)
(n9,29)
(n1,28)
(n5,52)
(n8,7)
(n6,88)
(n4,85)
(n0,43)
(n7,60)
(o0,19)
(o1,31)
(o6,12)
(o9,96)
(o2,14)
(o7,0)
(o4,19)
(o8,92)
(p3,13)
(p0,10)
(p9,18)
(p5,26)
(p8,34)
(q6,5)
(q8,1)
(q7,30)
(q3,0)
(q1,47)
(q0,55)
(q5,90)
(q2,31)
(r5,76)
(r1,80)
(r8,49)
(r3,37)
(r9,40)
(r4,12)
(r2,37)
(r7,33)
(r0,48)
(s3,70)
(s1,56)
(s4,60)
(s0,14)
(s6,82)
(s7,4)
(s5,20)
(t0,26)
(t3,60)
(t9,85)
(t1,44)
(t5,51)
(t6,85)
(t8,86)
(u7,79)
(u3,48)
(u8,86)
(u6,20)
(u1,61)
(u4,60)
(u5,99)
(v8,3)
(v0,2)
(v7,73)
(v4,91)
(v1,13)
(w7,53)
(w9,1)
(w1,14)
(w3,13)
(w8,7)
(w5,65)
(w4,91)
(w6,10)
(x0,13)
(x6,41)
(x1,81)
(x9,86)
(x3,2)
(y9,71)
(y2,7)
(y4,51)
(y0,11)
(y3,29)
(y6,87)
(z5,73)
(z2,60)
(z3,59)
(z1,35)
(z9,98)
(z7,51)
(z8,38)
(z6,84)
(z0,96)
[(i9,18)]
[(l9,96)]
[(j0,9)]
